标题,标题链接,时间
上周中国取消5.1万吨美国陈豆订单，没有买入新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210423/412563.html,2021-04-23
中粮集团首批进口坦桑尼亚大豆通关入境,http://www.cnagri.com/lypd/lyzx/dadou/20210609/412562.html,2021-06-09
截至4月29日当周，中国没有买入美国陈豆和新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210507/412561.html,2021-05-07
“保险+期货”试点激活海伦大豆种植,http://www.cnagri.com/lypd/lyzx/dadou/20210611/412560.html,2021-06-11
预计2021/22年度中国大豆种植面积较上年度减少5.4%,http://www.cnagri.com/lypd/lyzx/dadou/20210512/412559.html,2021-05-12
美国农业部：上周美国对中国大陆装运0.3万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210615/412558.html,2021-06-15
截至5月6日当周，中国没有买入美国陈豆和新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210514/412557.html,2021-05-14
预计2021/22年度全球大豆供应规模有所扩大,http://www.cnagri.com/lypd/lyzx/dadou/20210615/412556.html,2021-06-15
截至5月13日当周，中国没有买入美国陈豆和新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210521/412555.html,2021-05-21
美国对华大豆出口最新统计：对华销售总量同比增长1.29倍,http://www.cnagri.com/lypd/lyzx/dadou/20210618/412554.html,2021-06-18
截至6月10日当周，中国取消采购4.3万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210618/412553.html,2021-06-18
2021年中国大豆产量料达1.840万吨，同比下滑6.1%,http://www.cnagri.com/lypd/lyzx/dadou/20210708/412552.html,2021-07-08
5月份中国从巴西进口的大豆数量环比激增82%,http://www.cnagri.com/lypd/lyzx/dadou/20210621/412551.html,2021-06-21
中国聚焦：中国大豆进口预计放慢，因豆粕消费有限,http://www.cnagri.com/lypd/lyzx/dadou/20210726/412550.html,2021-07-26
截至7月1日当周，中国买入1.8万吨美国陈豆,http://www.cnagri.com/lypd/lyzx/dadou/20210712/412549.html,2021-07-12
芝加哥大豆期价大跌后，中国买家买入多船美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210621/412548.html,2021-06-21
美国农业部：上周美国对中国大陆装运0.3万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210727/412547.html,2021-07-27
海关总署：中国6月大豆进口1072.2万吨,http://www.cnagri.com/lypd/lyzx/dadou/20210713/412546.html,2021-07-13
中国国有买家周五可能至少买入8船美国大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210621/412545.html,2021-06-21
ADM公司预计未来几个月中国大豆进口需要额外增长,http://www.cnagri.com/lypd/lyzx/dadou/20210730/412544.html,2021-07-30
美国农业部：中国需求疲软，全球大豆贸易放慢,http://www.cnagri.com/lypd/lyzx/dadou/20210714/412543.html,2021-07-14
传言获证实，美国出口商对中国和未知目的地售出45.6万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210622/412542.html,2021-06-22
截至7月22日当周，中国买入12万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210730/412541.html,2021-07-30
截至7月8日当周，中国没有买入美国陈豆或新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210716/412540.html,2021-07-16
美国对华大豆出口最新统计：对华销售总量同比增长1.27倍,http://www.cnagri.com/lypd/lyzx/dadou/20210625/412539.html,2021-06-25
美国农业部：上周美国对中国大陆装运2.6万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210803/412538.html,2021-08-03
美国农业部：上周美国对中国大陆装运0.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210720/412537.html,2021-07-20
截至6月17日当周，中国买入6.6万吨美国陈豆，取消6.6万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210625/412536.html,2021-06-25
截至7月29日当周，中国买入12.9万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210806/412535.html,2021-08-06
6月份中国从巴西进口1048万吨大豆，创下历史次高水平,http://www.cnagri.com/lypd/lyzx/dadou/20210721/412534.html,2021-07-21
截至6月24日当周，中国买入3万吨美国陈豆和115万吨新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210702/412533.html,2021-07-02
美国农业部：私人出口商对中国售出13.1万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210809/412532.html,2021-08-09
农业农村部：2021年6月大宗农产品供需形势分析月报（大豆部分）,http://www.cnagri.com/lypd/lyzx/dadou/20210722/412531.html,2021-07-22
美国农业参赞预计2021/22年度中国大豆产量下降,http://www.cnagri.com/lypd/lyzx/dadou/20210706/412530.html,2021-07-06
美国农业部：上周美国对中国大陆装运490吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210810/412529.html,2021-08-10
中国过去几周买入了数十万吨阿根廷大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210723/412528.html,2021-07-23
预测2021/22年度我国大豆、豆粕、豆油供给量均增加,http://www.cnagri.com/lypd/lyzx/dadou/20210706/412527.html,2021-07-06
美国农业部：私人出口商对中国和未知目的地售出26.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210811/412526.html,2021-08-11
截至7月15日当周，中国仅仅买入0.6万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210723/412525.html,2021-07-23
美国私人出口商报告对中国销售13.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210812/412524.html,2021-08-12
美国私人出口商报告对中国销售13.2万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210812/412507.html,2021-08-12
海关总署：中国6月大豆进口1072.2万吨,http://www.cnagri.com/lypd/lyzx/dadou/20210713/412282.html,2021-07-13
中国过去几周买入了数十万吨阿根廷大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210723/412281.html,2021-07-23
2021年中国大豆产量料达1.840万吨，同比下滑6.1%,http://www.cnagri.com/lypd/lyzx/dadou/20210708/412280.html,2021-07-08
中国批准进口乌克兰菜籽粕,http://www.cnagri.com/lypd/lyzx/dadou/20200703/411755.html,2020-07-03
中央储备国产大豆第二次拍卖未调底价 全部流拍,http://www.cnagri.com/lypd/lyzx/dadou/20200804/411754.html,2020-08-04
中国舟山港部分关闭，因为巴西大豆货轮的船员核酸测试阳性,http://www.cnagri.com/lypd/lyzx/dadou/20200814/411753.html,2020-08-14
西藏自治区林芝市发生非洲猪瘟疫情,http://www.cnagri.com/lypd/lyzx/dadou/20190408/411752.html,2019-04-08
巴西土著恢复在巴西谷物高速公路上的抗议活动,http://www.cnagri.com/lypd/lyzx/dadou/20200821/411751.html,2020-08-21
投机基金在CBOT大豆期市的净空单创下15个月新高,http://www.cnagri.com/lypd/lyzx/dadou/20190425/411750.html,2019-04-25
关于调整黄大豆1号和黄大豆2号品种期货合约涨跌停板幅度和交易保证金水平的通知,http://www.cnagri.com/lypd/lyzx/dadou/20201028/411749.html,2020-10-28
香港查出非洲猪瘟病毒感染政府销毁上水屠宰场600头生猪,http://www.cnagri.com/lypd/lyzx/dadou/20190513/411748.html,2019-05-13
美国对华大豆出口最新统计：对华销售总量同比增长3.2倍,http://www.cnagri.com/lypd/lyzx/dadou/20201030/411747.html,2020-10-30
上周中国从美国买入107万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20201030/411746.html,2020-10-30
投机基金仍然看空大豆市场，但是过去一周减持净空单,http://www.cnagri.com/lypd/lyzx/dadou/20190606/411745.html,2019-06-06
上周中国没有买入任何美国陈豆和新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210326/411744.html,2021-03-26
中美元首会晤，习近平同特朗普谈了这些大事,http://www.cnagri.com/lypd/lyzx/dadou/20190701/411743.html,2019-07-01
5000吨大豆首次搭乘翻坝列车入川,http://www.cnagri.com/lypd/lyzx/dadou/20210326/411742.html,2021-03-26
关于举办6月12日油脂公司国产大豆竞价销售专场的公告,http://www.cnagri.com/lypd/lyzx/dadou/20200610/411741.html,2020-06-10
锚定食用大豆自给 国家级黑河大豆科技成果转化“伙伴行动”启动,http://www.cnagri.com/lypd/lyzx/dadou/20210408/411740.html,2021-04-08
一颗颗大豆，承载着永和豆浆的梦想！,http://www.cnagri.com/lypd/lyzx/dadou/20210326/411739.html,2021-03-26
截至4月29日当周，中国没有买入美国陈豆和新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210507/411738.html,2021-05-07
丰都免费发放大豆种子 林下套种大豆1500亩,http://www.cnagri.com/lypd/lyzx/dadou/20210409/411737.html,2021-04-09
“保险+期货”试点激活海伦大豆种植,http://www.cnagri.com/lypd/lyzx/dadou/20210611/411736.html,2021-06-11
预计2021/22年度中国大豆种植面积较上年度减少5.4%,http://www.cnagri.com/lypd/lyzx/dadou/20210512/411735.html,2021-05-12
黑河市大豆产业振兴发展驶入快车道,http://www.cnagri.com/lypd/lyzx/dadou/20210409/411734.html,2021-04-09
美国农业部：上周美国对中国大陆装运0.3万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210615/411733.html,2021-06-15
截至5月6日当周，中国没有买入美国陈豆和新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210514/411732.html,2021-05-14
江西省红壤所组织省内专家赴萍乡市开展大豆生产调研,http://www.cnagri.com/lypd/lyzx/dadou/20210414/411731.html,2021-04-14
预计2021/22年度全球大豆供应规模有所扩大,http://www.cnagri.com/lypd/lyzx/dadou/20210615/411730.html,2021-06-15
截至5月13日当周，中国没有买入美国陈豆和新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210521/411729.html,2021-05-21
“豆状元”上榜“2021年度中国豆制品行业品牌企业50强”,http://www.cnagri.com/lypd/lyzx/dadou/20210415/411728.html,2021-04-15
美国对华大豆出口最新统计：对华销售总量同比增长1.29倍,http://www.cnagri.com/lypd/lyzx/dadou/20210618/411727.html,2021-06-18
先正达集团首艘大豆货船抵达中国 成功试运行全球农业价值链闭环运营商业模式,http://www.cnagri.com/lypd/lyzx/dadou/20210527/411726.html,2021-05-27
黑河打造现代大豆产业发展全国样板,http://www.cnagri.com/lypd/lyzx/dadou/20210420/411725.html,2021-04-20
截至6月10日当周，中国取消采购4.3万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210618/411724.html,2021-06-18
截至5月20日当周，中国买入2万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210528/411723.html,2021-05-28
海关总署：中国3月从美国进口大豆同比激增320% 从巴西进口骤降,http://www.cnagri.com/lypd/lyzx/dadou/20210420/411722.html,2021-04-20
5月份中国从巴西进口的大豆数量环比激增82%,http://www.cnagri.com/lypd/lyzx/dadou/20210621/411721.html,2021-06-21
黑土地上的巴彦大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210601/411720.html,2021-06-01
北大荒集团九三分公司在第五届中国大豆食品节上彰显品牌魅力,http://www.cnagri.com/lypd/lyzx/dadou/20210421/411719.html,2021-04-21
芝加哥大豆期价大跌后，中国买家买入多船美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210621/411718.html,2021-06-21
截至5月27日当周，中国买入1万吨美国新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210607/411717.html,2021-06-07
重庆綦江：无人机助力春耕 10小时播种大豆百亩,http://www.cnagri.com/lypd/lyzx/dadou/20210421/411716.html,2021-04-21
中国国有买家周五可能至少买入8船美国大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210621/411715.html,2021-06-21
5月上半月大豆实际到港325.56万吨，同比上升25.75%,http://www.cnagri.com/lypd/lyzx/dadou/20210609/411714.html,2021-06-09
上周中国取消5.1万吨美国陈豆订单，没有买入新豆,http://www.cnagri.com/lypd/lyzx/dadou/20210423/411713.html,2021-04-23
传言获证实，美国出口商对中国和未知目的地售出45.6万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20210622/411712.html,2021-06-22
中粮集团首批进口坦桑尼亚大豆通关入境,http://www.cnagri.com/lypd/lyzx/dadou/20210609/411711.html,2021-06-09
美国对华大豆出口最新统计：对华销售总量同比增长3.2倍,http://www.cnagri.com/lypd/lyzx/dadou/20201030/410953.html,2020-10-30
上周中国从美国买入107万吨大豆,http://www.cnagri.com/lypd/lyzx/dadou/20201030/410952.html,2020-10-30
关于调整黄大豆1号和黄大豆2号品种期货合约涨跌停板幅度,http://www.cnagri.com/lypd/lyzx/dadou/20201028/410951.html,2020-10-28
中国舟山港部分关闭，因为巴西大豆货轮的船员核酸测试阳,http://www.cnagri.com/lypd/lyzx/dadou/20200814/410501.html,2020-08-14
巴西土著恢复在巴西谷物高速公路上的抗议活动,http://www.cnagri.com/lypd/lyzx/dadou/20200821/410500.html,2020-08-21
中央储备国产大豆第二次拍卖未调底价 全部流拍,http://www.cnagri.com/lypd/lyzx/dadou/20200804/410447.html,2020-08-04
中国批准进口乌克兰菜籽粕,http://www.cnagri.com/lypd/lyzx/dadou/20200703/409720.html,2020-07-03
关于举办6月12日油脂公司国产大豆竞价销售专场的公告,http://www.cnagri.com/lypd/lyzx/dadou/20200610/409228.html,2020-06-10
中美元首会晤，习近平同特朗普谈了这些大事,http://www.cnagri.com/lypd/lyzx/dadou/20190701/396147.html,2019-07-01
大商所豆粕期权今日挂牌交易,http://www.cnagri.com/lypd/lyzx/dadou/20170331/395363.html,2017-03-31
29日国家临储大豆竞价销售30万吨,http://www.cnagri.com/lypd/lyzx/dadou/20170926/395362.html,2017-09-26
豆粕期权要来了 这些知识你都知道吗？,http://www.cnagri.com/lypd/lyzx/dadou/20170331/395361.html,2017-03-31
大商所在京举行黄大豆2号新合约规则宣讲会,http://www.cnagri.com/lypd/lyzx/dadou/20170928/395360.html,2017-09-28
商品期权时代来了！豆粕期权今日亮相大商所,http://www.cnagri.com/lypd/lyzx/dadou/20170331/395359.html,2017-03-31
临储大豆拍卖10年产全部成交,http://www.cnagri.com/lypd/lyzx/dadou/20171013/395358.html,2017-10-13
首周表现理性 豆粕期权实现稳起步,http://www.cnagri.com/lypd/lyzx/dadou/20170410/395357.html,2017-04-10
消息人士：特朗普访问中国期间 中国买家或签订大豆采购协议,http://www.cnagri.com/lypd/lyzx/dadou/20171108/395356.html,2017-11-08
国内忧虑大豆进口依赖度过高,http://www.cnagri.com/lypd/lyzx/dadou/20170417/395355.html,2017-04-17
主产区累计收购中晚稻、玉米和大豆11009万吨,http://www.cnagri.com/lypd/lyzx/dadou/20171226/395354.html,2017-12-26
种植面积缩减 中国玉米产量料降至六年最低,http://www.cnagri.com/lypd/lyzx/dadou/20170418/395353.html,2017-04-18
黑龙江粮食交易市场将举办大豆销售专场,http://www.cnagri.com/lypd/lyzx/dadou/20171227/395352.html,2017-12-27
2018年我国轮作休耕制度试点规模将扩大一倍,http://www.cnagri.com/lypd/lyzx/dadou/20180102/395351.html,2018-01-02
中国政策或改变大豆国际市场格局,http://www.cnagri.com/lypd/lyzx/dadou/20170418/395350.html,2017-04-18
江苏3口岸成首批进口期货大豆指定口岸,http://www.cnagri.com/lypd/lyzx/dadou/20180228/395349.html,2018-02-28
农产品增值税税率从13%降至11%,http://www.cnagri.com/lypd/lyzx/dadou/20170420/395348.html,2017-04-20
报告预计未来10年我国粮食供需将由阶段性供大于求转向基本平衡,http://www.cnagri.com/lypd/lyzx/dadou/20170421/395347.html,2017-04-21
吉林发布饲料加工和大豆加工企业补贴申报,http://www.cnagri.com/lypd/lyzx/dadou/20180301/395346.html,2018-03-01
黑龙江省2017年优质高效大豆品种种植区划布局,http://www.cnagri.com/lypd/lyzx/dadou/20170424/395345.html,2017-04-24
上期能源负责人回应原油期货市场热点问题,http://www.cnagri.com/lypd/lyzx/dadou/20180308/395344.html,2018-03-08
有关允许阿根廷豆粕出口中国的谈判停滞不前,http://www.cnagri.com/lypd/lyzx/dadou/20181126/395343.html,2018-11-26
大商所调整黄大豆2号品种指定交割库,http://www.cnagri.com/lypd/lyzx/dadou/20180319/395342.html,2018-03-19
国务院：决定对美600亿美元进口商品加征关税,http://www.cnagri.com/lypd/lyzx/dadou/20180806/395341.html,2018-08-06
我国调整部分商品进出口关税 杂粕进口税率从5%调整为0,http://www.cnagri.com/lypd/lyzx/dadou/20181225/395340.html,2018-12-25
市场消息：吉林大豆加工补贴确定为300元/吨,http://www.cnagri.com/lypd/lyzx/dadou/20180319/395339.html,2018-03-19
外交部长王毅：中美在大方向上达成一致,http://www.cnagri.com/lypd/lyzx/dadou/20180806/395338.html,2018-08-06
商务部：中美已就明年一月贸易会谈做出安排,http://www.cnagri.com/lypd/lyzx/dadou/20181228/395337.html,2018-12-28
今年黑龙江省大豆种植意向减少,http://www.cnagri.com/lypd/lyzx/dadou/20180402/395336.html,2018-04-02
江苏省无锡市宜兴市发生非洲猪瘟疫情,http://www.cnagri.com/lypd/lyzx/dadou/20180904/395335.html,2018-09-04
农业农村部：大豆进口供应预计基本正常,http://www.cnagri.com/lypd/lyzx/dadou/20180410/395334.html,2018-04-10
